OTU	Domain	Phylum	Class	Order	Family	Genus	Species
Chakia	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Scytonemataceae	Chakia	s_Chakia
Rivularia	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Rivulariaceae	Rivularia	s_Rivularia
Unknown_filamentous_Synechococcales_III	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Unknown Synechococcales	Unknown_filamentous_Synechococcales_III	s_Unknown_filamentous_Synechococcales_III
Unknown_Nostocales_I	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Unknown Nostocales	Unknown_Nostocales_I	s_Unknown_Nostocales_I
Unknown_filamentous_Synechococcales_VI	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Unknown Synechococcales	Unknown_filamentous_Synechococcales_VI	s_Unknown_filamentous_Synechococcales_VI
Xenococcus	Bacteria	Cyanobacteria	Oxyphotobacteria	Pleurocapsales	Xenococcaceae	Xenococcus	s_Xenococcus
Gloeobacter	Bacteria	Cyanobacteria	Oxyphotobacteria	Gloeobacterales	Gloeobacteraceae	Gloeobacter	s_Gloeobacter
Chroococcidiopsis	Bacteria	Cyanobacteria	Oxyphotobacteria	Chroococcidiopsidales	Chroococcidiopsidaceae	Chroococcidiopsis	s_Chroococcidiopsis
Scytonema	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Scytonemataceae	Scytonema	s_Scytonema
Unknown_filamentous_Synechococcales_IV	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Unknown Synechococcales	Unknown_filamentous_Synechococcales_IV	s_Unknown_filamentous_Synechococcales_IV
Unknown_Oscillatoriales	Bacteria	Cyanobacteria	Oxyphotobacteria	Oscillatorales	Unknown Oscillatoriales	Unknown_Oscillatoriales	s_Unknown_Oscillatoriales
Unknown_filamentous_Synechococcales_II	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Unknown Synechococcales	Unknown_filamentous_Synechococcales_II	s_Unknown_filamentous_Synechococcales_II
Unknown_Nostocales_II	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Unknown Nostocales	Unknown_Nostocales_II	s_Unknown_Nostocales_II
Gloeothece	Bacteria	Cyanobacteria	Oxyphotobacteria	Chroococcales	Chroococcaceae	Gloeothece	s_Gloeothece
Unknown_Chroococcales_II	Bacteria	Cyanobacteria	Oxyphotobacteria	Chroococcales	Entophysalidaceae	Unknown_Chroococcales_II	s_Unknown_Chroococcales_II
Unknown_unicelullar_Synechoococcales_I	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Synechococcaceae	Unknown_unicelullar_Synechoococcales_I	s_Unknown_unicelullar_Synechoococcales_I
Calothrix	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Calotrichaceae	Calothrix	s_Calothrix
Nodosilinea	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Leptolyngbyaceae	Nodosilinea	s_Nodosilinea
Unknown_filamentous_Synechococcales_I	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Leptolyngbyaceae	Unknown_filamentous_Synechococcales_I	s_Unknown_filamentous_Synechococcales_I
Stigonema	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Stigonemataceae	Stigonema	s_Stigonema
Cyanobium	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Synechococcaceae	Cyanobium	s_Cyanobium
Elainella	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Leptolyngbyaceae	Elainella	s_Elainella
Matigocladus	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Hapalosiphonaceae	Matigocladus	s_Matigocladus
Unknown_Chroococcales_IV	Bacteria	Cyanobacteria	Oxyphotobacteria	Chroococcales	Merismopediaceae	Unknown_Chroococcales_IV	s_Unknown_Chroococcales_IV
Thermoleptolyngbya	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Unknown Synechococcales	Thermoleptolyngbya	s_Thermoleptolyngbya
Synechococcus	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Synechococcaceae	Synechococcus	s_Synechococcus
Unknown_unicelullar_Synechoococcales_II	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Prochloraceae	Unknown_unicelullar_Synechoococcales_II	s_Unknown_unicelullar_Synechoococcales_II
Oscillatoria	Bacteria	Cyanobacteria	Oxyphotobacteria	Oscillatorales	Oscillatoriaceae	Oscillatoria	s_Oscillatoria
Macrochaete	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Rivulariaceae	Macrochaete	s_Macrochaete
Tychonema	Bacteria	Cyanobacteria	Oxyphotobacteria	Oscillatorales	Unknown Oscillatoriales	Tychonema	s_Tychonema
Unknown_Chroococcales_I	Bacteria	Cyanobacteria	Oxyphotobacteria	Chroococcales	Unknown Chroococcales	Unknown_Chroococcales_I	s_Unknown_Chroococcales_I
