Sample	Region	Depth	pH	Conductivity 	NOx	Sulfate	Calcium	Bicarbonate	Site	Biome
BL01	North	1	6.9	4620	2.09	1170	338	110	BL01	BL
BL02	North	1	7.2	4436	2.05	1170	338	110	BL02	BL
BL03	North	1	7.3	4340	1.75	1030	310	104	BL03	BL
BL04	North	1	7.9	2950	3.54	1140	388	120	BL04	BL
BL05	North	1	7.03	2700	1.44	1140	400	120	BL05	BL
BL06	Center	1	7.3	2040	7.31	1190	404	140	BL06	BL
BL07	Center	1	7.2	2150	8.41	1190	404	140	BL07	BL
BL08	Center	1	7.32	2300	16.43	1190	404	140	BL08	BL
BL09	Center	1	7.5	2280	4.05	1154	313	104	BL09	BL
BL10	Center	1	7.4	2470	7.04	1190	404	140	BL10	BL
BL11	Center	1	7.9	2480	7.99	1190	404	140	BL11	BL
BL12	South	1	7.5	2550	13.93	1072	325	183	BL12	BL
BL13	South	1	7.5	2130	24.51	1185	329	220	BL13	BL
BL14	South	1	7.7	2460	22.73	1038	314	238	BL14	BL
BL15	South	1	7.2	2580	21.87	1031	309	232	BL15	BL
CA05	Shallow	5	7.9	2330	28.1	1226	427	194	CA05	CA
CA10	Shallow	10	7.9	2302	0.01	1232	405	220	CA10	CA
CA20	Depth	20	8.1	2290	0.01	1235	432	232	CA20	CA
CA30	Depth	30	8.1	2300	0.01	1245	433	217	CA30	CA
