Genus	BL03	BL07	BL08	BL06	BL01	BL02	BL09	BL04	BL05	BL10	BL11	BL12	BL13	BL14	BL15	CA05	CA10	CA20	CA30
Acaryochloris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582	378	307	440
Aphanocapsa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	42	20	18
Caldora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	35	20	0
Calothrix	6	107	35	91	9	10	0	0	0	0	170	0	0	0	99	0	0	0	0
Chakia	2893	2206	3051	1868	3544	3333	3811	3218	3516	2353	2301	1092	4078	2264	2620	0	0	0	0
Chroococcidiopsis	346	62	161	159	90	549	7	294	414	447	1831	115	189	55	0	0	0	0	13
Chroococcospis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	526	114	305
Cyanobium	12	11	30	44	24	36	3	23	0	0	0	0	29	0	0	22	13	15	9
Cyanosarcina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	19	150	70
Elainella	2	45	58	13	2	0	0	0	18	71	6	1293	218	0	111	23	37	6	3
Gloeobacter	150	108	158	151	202	237	1220	1012	450	328	382	0	1872	1975	1009	0	0	0	0
Gloeothece	24	19	10	205	81	32	57	9	0	0	0	0	0	78	0	0	0	0	0
Haloleptolyngbya	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
Halomicronema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1	0	0
Leptolyngbya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575	482	107	113
Leptothoe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0
Macrochaete	0	11	4	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0
Matigocladus	5	0	0	201	0	0	7	23	0	0	0	0	87	62	0	0	12	0	83
Nodosilinea	32	0	34	38	25	73	18	20	0	0	0	0	0	23	23	0	0	0	0
Oscillatoria	0	6	0	15	1	6	2	0	0	0	0	0	0	0	0	0	0	1	3
Planktothrix	0	0	0	13	0	6	14	0	0	0	0	0	0	0	0	18	22	22	14
Pseudanabaena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	19	2	0
Rivularia	2958	1464	710	958	505	1681	223	1801	1349	1336	3262	718	537	289	1482	2	2	6	2
Scytonema	210	97	271	198	251	461	560	632	117	24	63	0	0	0	0	0	0	0	0
Stigonema	89	0	0	0	30	0	60	0	0	0	0	0	0	0	0	0	0	0	0
Synechococcus	7	5	32	17	10	6	27	180	0	0	0	0	0	0	0	18	1	0	0
Thermoleptolyngbya	0	15	21	43	39	12	14	0	0	0	0	0	0	0	0	0	0	0	0
Tychonema	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown_Chroococcales_I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5975	7293	8372	7909
Unknown_Chroococcales_II	31	0	49	71	21	87	24	103	117	7	32	0	29	55	47	11	11	12	0
Unknown_Chroococcales_III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	0
Unknown_Chroococcales_IV	8	54	20	35	3	34	69	0	0	0	0	0	44	273	0	21	0	0	0
Unknown_filamentous_Synechococcales_I	2	0	46	23	91	0	12	0	0	0	0	0	0	0	12	0	0	0	0
Unknown_filamentous_Synechococcales_II	76	43	91	65	75	51	167	0	0	0	0	0	0	0	18	0	0	0	0
Unknown_filamentous_Synechococcales_III	892	797	1214	1780	2922	618	1175	337	369	422	277	230	87	664	53	297	44	29	100
Unknown_filamentous_Synechococcales_IV	68	15	232	274	233	225	810	14	0	0	0	0	450	164	163	21	5	1	0
Unknown_filamentous_Synechococcales_V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1765	572	515	382
Unknown_filamentous_Synechococcales_VI	547	1080	1454	1506	928	395	865	743	432	887	1040	3333	784	1030	2042	13	7	0	0
Unknown_Nostocales_I	757	2995	1404	1481	496	1117	504	1529	3103	2166	544	1954	769	2896	1989	0	0	0	0
Unknown_Nostocales_II	68	267	18	111	27	3	37	0	0	14	0	374	203	0	12	118	131	9	0
Unknown_Oscillatoriales	97	420	577	296	6	184	213	0	0	1813	20	891	261	141	105	2	2	0	0
Unknown_unicelullar_Synechoococcales_I	22	33	47	56	189	14	72	0	0	0	0	0	87	0	41	0	0	0	0
Unknown_unicelullar_Synechoococcales_II	0	0	0	2	0	9	10	0	0	0	0	0	0	0	23	6	0	2	0
Xenococcus	690	139	261	286	194	823	17	63	117	134	71	0	276	31	152	41	325	284	536
